DeviceId,location_name,Latitude,Longitude,Category,AQI,SO2_MAX,SO2_MIN,OZONE_MAX,OZONE_MIN,NO_MAX,NO_MIN,PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN,NO2_MAX,NO2_MIN,Light,Humidity,AQI_Pollutant,Status,ON_OFF_STATUS,CO2_MIN,CO2_MAX,TEMPRATURE_MIN,TEMPRATURE_MAX,AIR_PRESSURE,SOUND,CO_MIN,CO_MAX,timezoneoffset,UV_MAX,UV_MIN
978ed964-88ee-fbc8-2092-5e41065c6405,Pune university Square_22,18.541967,73.828573,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,
02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,PMPML Katraj_Depot_New_26,18.447118,73.858556,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,330,,
184ba502-22a8-ad15-a8f1-c966cd3aa7a7,Pune_ST_Stand_40,18.527615,73.8723841,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,330,,
a841398a-4739-72ff-497a-a439364f459a,Nalstop Square_07,18.508766,73.831273,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,330,,
3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,BRTS_Visharant_wadi_38,18.572866,73.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,
d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,Kothrud_PMPML_BusDepot_48,18.5080491,73.7952478,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,330,,
db3d6ea0-a84a-b3d6-7ec9-71ae66736273,Noble Hopital junction_35,18.502712,73.927285,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,330,,
52e11fbe-2458-987f-b756-8c5cab1f051e,Nanded City Entry_42,18.456863,73.801601,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,330,,
3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,Church Khadaki Railway Station_36,18.564223,73.840686,nullvalue,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OFF,,,,,,,,,,330,,
d824fa46-223b-f248-493e-80bb5bdeda68,Fursungi Kaman_31,18.48664,73.952635,nullvalue,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OFF,,,,,,,,,,330,,
390a5098-1616-60ca-955e-ce9b5d3ee5f9,Hadapsar_Gadital_01,18.500945,73.938942,nullvalue,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OFF,,,,,,,,,,330,,
f40c0b8e-248f-9f62-414e-7e2a7065d53e,Mundhwa Road Junction_51,18.532934,73.932817,nullvalue,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OFF,,,,,,,,,,330,,
ae767590-445c-4079-14a6-6a954239d7c7,Warje_Square_21,18.480309,73.805765,nullvalue,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OFF,,,,,,,,,,330,,
